name	kind	paramMin	varargs	origin	originLine	decl
Mesh	typedef_struct	-1	0	raylib.h	346	t Mesh {
MinimizeWindow	function	0	0	raylib.h	1004	I void MinimizeWindow(void); // Set window state: minimized, if resizable
Model	typedef_struct	-1	0	raylib.h	418	t Model {
ModelAnimPose	typedef_alias	-1	0	raylib.h	402	m *ModelAnimPose;
ModelAnimation	typedef_struct	-1	0	raylib.h	436	t ModelAnimation {
ModelSkeleton	typedef_struct	-1	0	raylib.h	411	t ModelSkeleton {
MouseButton	typedef_enum	-1	0	raylib.h	712	m {
MouseCursor	typedef_enum	-1	0	raylib.h	723	m {
Music	typedef_struct	-1	0	raylib.h	495	t Music {
NPatchInfo	typedef_struct	-1	0	raylib.h	298	t NPatchInfo {
NPatchLayout	typedef_enum	-1	0	raylib.h	960	m {
Normalize	function	3	0	raymath.h	235	I float Normalize(float value, float start, float end)
OpenURL	function	1	0	raylib.h	1116	I void OpenURL(const char *url); // Open URL with default system browser (if available)
PauseAudioStream	function	1	0	raylib.h	1727	I void PauseAudioStream(AudioStream stream); // Pause audio stream
PauseMusicStream	function	1	0	raylib.h	1711	I void PauseMusicStream(Music music); // Pause music playing
PauseSound	function	1	0	raylib.h	1690	I void PauseSound(Sound sound); // Pause a sound
PixelFormat	typedef_enum	-1	0	raylib.h	853	m {
PlayAudioStream	function	1	0	raylib.h	1726	I void PlayAudioStream(AudioStream stream); // Play audio stream
PlayAutomationEvent	function	1	0	raylib.h	1193	I void PlayAutomationEvent(AutomationEvent event); // Play a recorded automation event
PlayMusicStream	function	1	0	raylib.h	1707	I void PlayMusicStream(Music music); // Start music playing
PlaySound	function	1	0	raylib.h	1688	I void PlaySound(Sound sound); // Play a sound
PollInputEvents	function	0	0	raylib.h	1104	I void PollInputEvents(void); // Register all input events
Quaternion	typedef_alias	-1	0	raylib.h	237	4 Quaternion;
QuaternionAdd	function	2	0	raymath.h	2146	I Quaternion QuaternionAdd(Quaternion q1, Quaternion q2)
QuaternionAddValue	function	2	0	raymath.h	2154	I Quaternion QuaternionAddValue(Quaternion q, float add)
QuaternionCubicHermiteSpline	function	5	0	raymath.h	2353	I Quaternion QuaternionCubicHermiteSpline(Quaternion q1, Quaternion outTangent1, Quaternion q2, Quaternion inTangent2, float t)
QuaternionDivide	function	2	0	raymath.h	2260	I Quaternion QuaternionDivide(Quaternion q1, Quaternion q2)
QuaternionEquals	function	2	0	raymath.h	2639	I int QuaternionEquals(Quaternion p, Quaternion q)
QuaternionFromAxisAngle	function	2	0	raymath.h	2504	I Quaternion QuaternionFromAxisAngle(Vector3 axis, float angle)
QuaternionFromEuler	function	3	0	raymath.h	2581	I Quaternion QuaternionFromEuler(float pitch, float yaw, float roll)
QuaternionFromMatrix	function	1	0	raymath.h	2406	I Quaternion QuaternionFromMatrix(Matrix mat)
QuaternionFromVector3ToVector3	function	2	0	raymath.h	2378	I Quaternion QuaternionFromVector3ToVector3(Vector3 from, Vector3 to)
QuaternionIdentity	function	0	0	raymath.h	2178	I Quaternion QuaternionIdentity(void)
