file	replacements	unique	top
examples/core/core_scissor_test.c	19	18	DrawText:2|BeginDrawing:1|BeginScissorMode:1|ClearBackground:1|CloseWindow:1
examples/core/core_screen_recording.c	28	24	DrawCircleV:2|GetScreenWidth:2|TraceLog:2|Vector2:2|BeginDrawing:1
examples/core/core_smooth_pixelperfect.c	48	26	Rectangle:7|DrawText:4|TextFormat:4|DrawRectanglePro:3|BeginMode2D:2
examples/core/core_storage_values.c	33	15	DrawText:6|TraceLog:6|IsKeyPressed:3|TextFormat:3|GetRandomValue:2
examples/core/core_text_file_loading.c	31	25	GetFontDefault:3|MeasureTextEx:3|DrawText:2|Vector2:2|BeginDrawing:1
examples/core/core_undo_redo.c	54	18	DrawRectangle:13|DrawRectangleLines:9|IsKeyPressed:7|Vector2:4|GetRandomValue:3
examples/core/core_viewport_scaling.c	116	28	Rectangle:46|Vector2:17|DrawText:11|TextFormat:7|DrawRectangleRec:5
examples/core/core_vr_simulator.c	60	41	GetShaderLocation:8|SetShaderValue:8|Vector3:4|ClearBackground:2|Rectangle:2
examples/core/core_window_flags.c	113	26	DrawText:31|IsWindowState:26|IsKeyPressed:11|ClearWindowState:7|SetWindowState:7
examples/core/core_window_letterbox.c	48	28	GetRandomValue:6|Vector2:5|Color:3|DrawText:3|GetScreenHeight:3
examples/core/core_window_should_close.c	14	11	IsKeyPressed:3|DrawText:2|BeginDrawing:1|ClearBackground:1|CloseWindow:1
examples/core/core_window_web.c	8	8	BeginDrawing:1|ClearBackground:1|CloseWindow:1|DrawText:1|EndDrawing:1
examples/core/core_world_screen.c	27	21	Vector3:5|DrawText:3|BeginDrawing:1|BeginMode3D:1|Camera:1
examples/core/raygui.h	714	53	Rectangle:204|GetColor:134|Color:58|Fade:42|Vector2:42
examples/examples_template.c	14	10	Vector2:4|DrawLineEx:2|BeginDrawing:1|ClearBackground:1|CloseWindow:1
examples/models/models_animation_blending.c	64	34	Rectangle:8|GetScreenWidth:7|TextFormat:6|GetScreenHeight:5|Vector3:4
examples/models/models_animation_blend_custom.c	96	40	TextIsEqual:22|Vector3:8|ModelAnimation:7|MatrixMultiply:5|TextFormat:5
examples/models/models_animation_gpu_skinning.c	34	27	Vector3:4|TextFormat:3|DrawText:2|IsKeyPressed:2|BeginDrawing:1
examples/models/models_animation_timing.c	39	28	Rectangle:4|Vector3:4|GetScreenHeight:3|GetScreenWidth:3|TextFormat:2
examples/models/models_basic_voxel.c	42	31	Vector3:9|DrawText:2|GetScreenHeight:2|GetScreenWidth:2|BeginDrawing:1
examples/models/models_billboard_rendering.c	32	23	Vector3:6|DrawBillboard:2|DrawBillboardPro:2|Vector2:2|Vector3Distance:2
examples/models/models_bone_socket.c	63	35	IsKeyPressed:5|Vector3:5|LoadModel:4|Quaternion:4|DrawText:3
examples/models/models_box_collisions.c	39	24	Vector3:11|IsKeyDown:4|BoundingBox:3|BeginDrawing:1|BeginMode3D:1
examples/models/models_cubicmap_rendering.c	38	31	Vector3:5|DrawText:2|Texture2D:2|UnloadTexture:2|BeginDrawing:1
examples/models/models_decals.c	179	69	Vector3:41|DrawText:15|Mesh:9|TextFormat:7|Matrix:6
examples/models/models_directional_billboard.c	32	25	Vector3:4|Vector2:3|DrawText:2|TextFormat:2|BeginDrawing:1
examples/models/models_first_person_maze.c	47	37	Vector3:6|GetScreenWidth:3|Texture2D:2|UnloadTexture:2|Vector2:2
examples/models/models_geometric_shapes.c	41	21	Vector3:17|DrawCylinderWires:3|DrawCubeWires:2|DrawCylinder:2|BeginDrawing:1
examples/models/models_heightmap_rendering.c	32	28	Vector3:5|BeginDrawing:1|BeginMode3D:1|Camera:1|ClearBackground:1
examples/models/models_loading.c	52	36	IsFileExtension:7|Vector3:4|DrawText:3|GetMeshBoundingBox:2|LoadModel:2
examples/models/models_loading_gltf.c	29	24	Vector3:4|DrawText:2|IsKeyPressed:2|BeginDrawing:1|BeginMode3D:1
examples/models/models_loading_iqm.c	33	27	Vector3:6|DrawText:2|BeginDrawing:1|BeginMode3D:1|Camera:1
examples/models/models_loading_m3d.c	41	32	Vector3:4|DrawText:3|Color:2|IsKeyPressed:2|ModelAnimPose:2
examples/models/models_loading_vox.c	73	43	Vector3:11|IsKeyDown:8|DrawText:4|TextFormat:4|Vector3Zero:4
examples/models/models_mesh_generation.c	63	40	DrawText:10|LoadModelFromMesh:9|MemAlloc:3|Mesh:3|Fade:2
examples/models/models_mesh_picking.c	87	47	Vector3:22|DrawText:7|RayCollision:6|TextFormat:5|DrawLine3D:4
examples/models/models_orthographic_projection.c	37	22	Vector3:10|DrawCylinderWires:3|DrawText:3|DrawCubeWires:2|DrawCylinder:2
examples/models/models_point_rendering.c	59	28	Vector3:10|Color:6|DrawText:6|Model:5|Mesh:4
examples/models/models_rlgl_solar_system.c	22	17	Vector3:5|Color:2|BeginDrawing:1|BeginMode3D:1|Camera:1
examples/models/models_rotating_cube.c	33	26	Vector3:6|Image:2|UnloadImage:2|BeginDrawing:1|BeginMode3D:1
examples/models/models_skybox_rendering.c	106	48	Vector3:22|MatrixLookAt:6|TextFormat:6|GetShaderLocation:4|SetShaderValue:4
examples/models/models_tesseract_view.c	25	17	Vector3:5|Vector4:4|Vector2:2|BeginDrawing:1|BeginMode3D:1
examples/models/models_textured_cube.c	35	18	Vector3:9|Texture2D:5|Color:4|Rectangle:3|BeginDrawing:1
examples/models/models_waving_cubes.c	20	17	Vector3:4|BeginDrawing:1|BeginMode3D:1|Camera3D:1|ClearBackground:1
examples/models/models_yaw_pitch_roll.c	39	26	IsKeyDown:6|Vector3:5|DrawText:4|Fade:2|BeginDrawing:1
examples/models/raygui.h	714	53	Rectangle:204|GetColor:134|Color:58|Fade:42|Vector2:42
examples/models/rlights.h	28	6	Vector3:6|GetShaderLocation:5|SetShaderValue:5|TextFormat:5|Shader:4
examples/others/embedded_files_loading.c	22	21	DrawText:2|BeginDrawing:1|ClearBackground:1|CloseAudioDevice:1|CloseWindow:1
examples/others/raylib_opengl_interop.c	27	22	GetRandomValue:3|TextFormat:3|GetShaderLocation:2|BeginDrawing:1|ClearBackground:1
examples/others/rlgl_standalone.c	49	13	Color:11|Vector3:11|Vector2:6|Camera:3|DrawCube:3
examples/shaders/raygui.h	714	53	Rectangle:204|GetColor:134|Color:58|Fade:42|Vector2:42
examples/shaders/rlights.h	28	6	Vector3:6|GetShaderLocation:5|SetShaderValue:5|TextFormat:5|Shader:4
examples/shaders/shaders_ascii_rendering.c	42	32	Vector2:3|ClearBackground:2|GetShaderLocation:2|IsKeyPressed:2|LoadTexture:2
examples/shaders/shaders_basic_lighting.c	49	32	Vector3:7|Vector3Zero:6|IsKeyPressed:4|GetShaderLocation:2|SetShaderValue:2
examples/shaders/shaders_basic_pbr.c	139	35	GetShaderLocation:24|SetShaderValue:23|Vector3:21|TextFormat:8|Color:7
examples/shaders/shaders_cel_shading.c	61	32	TextFormat:7|Vector3:5|IsKeyPressed:4|SetShaderValue:4|DrawText:3
examples/shaders/shaders_color_correction.c	55	28	SetShaderValue:6|IsKeyPressed:5|Rectangle:5|DrawText:4|LoadTexture:4
examples/shaders/shaders_custom_uniform.c	46	40	Vector3:4|ClearBackground:2|DrawText:2|Vector2:2|BeginDrawing:1
examples/shaders/shaders_deferred_rendering.c	90	36	Vector3:13|IsKeyPressed:8|DrawText:6|Vector3Zero:5|SetShaderValue:4
examples/shaders/shaders_depth_rendering.c	54	36	RenderTexture2D:6|Vector3:5|DrawText:4|ClearBackground:2|DrawModel:2
examples/shaders/shaders_depth_writing.c	46	28	Vector3:11|RenderTexture2D:6|ClearBackground:2|DrawCubeV:2|DrawCubeWiresV:2
examples/shaders/shaders_eratosthenes_sieve.c	25	24	ClearBackground:2|BeginDrawing:1|BeginShaderMode:1|BeginTextureMode:1|CloseWindow:1
examples/shaders/shaders_fog_rendering.c	67	37	Vector3:7|GetShaderLocation:5|SetShaderValue:5|DrawModel:4|LoadModelFromMesh:3
examples/shaders/shaders_game_of_life.c	113	41	Rectangle:16|LoadImage:10|DrawText:7|Image:7|Vector2:7
examples/shaders/shaders_hot_reloading.c	42	23	GetShaderLocation:6|TextFormat:6|SetShaderValue:4|DrawText:3|GetFileModTime:2
examples/shaders/shaders_hybrid_rendering.c	65	34	Vector3:12|RenderTexture2D:6|GetShaderLocation:3|SetShaderValue:3|BeginShaderMode:2
examples/shaders/shaders_julia_set.c	70	30	IsKeyPressed:17|SetShaderValue:9|DrawText:6|GetFrameTime:3|GetShaderLocation:3
examples/shaders/shaders_lightmap_rendering.c	65	40	Rectangle:8|DrawTexturePro:4|Vector2:4|TextFormat:3|Vector3:3
examples/shaders/shaders_mandelbrot_set.c	64	30	IsKeyPressed:16|SetShaderValue:6|DrawText:5|GetShaderLocation:3|IsMouseButtonDown:3
examples/shaders/shaders_mesh_instancing.c	55	31	GetRandomValue:7|Vector3:6|Matrix:5|GetShaderLocation:3|MatrixTranslate:3
examples/shaders/shaders_model_shader.c	31	28	Vector3:4|BeginDrawing:1|BeginMode3D:1|Camera:1|ClearBackground:1
examples/shaders/shaders_multi_sample2d.c	36	27	Color:2|GenImageColor:2|GetShaderLocation:2|Image:2|IsKeyDown:2
examples/shaders/shaders_normalmap_rendering.c	77	41	Vector3:9|IsKeyDown:6|GetShaderLocation:5|Vector3Add:5|DrawText:4
examples/shaders/shaders_palette_switch.c	24	21	DrawText:3|IsKeyPressed:2|BeginDrawing:1|BeginShaderMode:1|ClearBackground:1
