file	replacements	unique	top
examples/textures/textures_npatch_drawing.c	33	18	Rectangle:8|DrawTextureNPatch:4|NPatchInfo:4|DrawText:2|Vector2:2
examples/textures/textures_particles_blending.c	31	21	GetRandomValue:5|DrawText:3|Vector2:3|Color:2|Rectangle:2
examples/textures/textures_polygon_drawing.c	39	17	Vector2:21|Color:2|Texture2D:2|BeginDrawing:1|ClearBackground:1
examples/textures/textures_raw_data.c	29	18	DrawText:4|Color:3|DrawTexture:2|Image:2|LoadTextureFromImage:2
examples/textures/textures_screen_buffer.c	23	20	GetRandomValue:3|Color:2|BeginDrawing:1|ClearBackground:1|CloseWindow:1
examples/textures/textures_sprite_animation.c	25	19	DrawText:4|DrawRectangleLines:3|IsKeyPressed:2|BeginDrawing:1|ClearBackground:1
examples/textures/textures_sprite_button.c	25	23	Rectangle:2|Vector2:2|BeginDrawing:1|CheckCollisionPointRec:1|ClearBackground:1
examples/textures/textures_sprite_explosion.c	21	21	BeginDrawing:1|ClearBackground:1|CloseAudioDevice:1|CloseWindow:1|DrawTextureRec:1
examples/textures/textures_sprite_stacking.c	27	19	DrawText:4|IsKeyDown:4|Rectangle:2|TextFormat:2|BeginDrawing:1
examples/textures/textures_srcrec_dstrec.c	17	15	DrawLine:2|Rectangle:2|BeginDrawing:1|ClearBackground:1|CloseWindow:1
examples/textures/textures_textured_curve.c	77	28	Vector2:20|CheckCollisionPointCircle:8|DrawCircleV:8|IsKeyPressed:5|Vector2Add:5
examples/textures/textures_tiled_drawing.c	93	31	Rectangle:31|DrawTexturePro:9|DrawText:8|IsKeyPressed:5|Vector2:4
examples/textures/textures_to_image.c	19	16	LoadTextureFromImage:2|UnloadImage:2|UnloadTexture:2|BeginDrawing:1|ClearBackground:1
projects/4coder/main.c	21	17	Vector3:4|GetTime:2|BeginDrawing:1|BeginMode3D:1|Camera:1
projects/CMake/core_basic_window.c	8	8	BeginDrawing:1|ClearBackground:1|CloseWindow:1|DrawText:1|EndDrawing:1
projects/CodeBlocks/core_basic_window.c	8	8	BeginDrawing:1|ClearBackground:1|CloseWindow:1|DrawText:1|EndDrawing:1
projects/Geany/core_basic_window.c	8	8	BeginDrawing:1|ClearBackground:1|CloseWindow:1|DrawText:1|EndDrawing:1
projects/Notepad++/raylib_npp_parser/raylib_to_parse.h	1345	637	Color:171|Vector2:154|Image:91|Vector3:59|Rectangle:32
projects/scripts/core_basic_window.c	8	8	BeginDrawing:1|ClearBackground:1|CloseWindow:1|DrawText:1|EndDrawing:1
projects/VS2019-Android/raylib_android/raylib_android.NativeActivity/main.c	8	8	BeginDrawing:1|ClearBackground:1|CloseWindow:1|DrawText:1|EndDrawing:1
projects/VSCode/main.c	20	17	Vector3:4|BeginDrawing:1|BeginMode3D:1|Camera:1|ClearBackground:1
projects/Zig/src/core_basic_window.c	8	8	BeginDrawing:1|ClearBackground:1|CloseWindow:1|DrawText:1|EndDrawing:1
src/config.h	1	1	TraceLog:1
src/external/fix_win32_compatibility.h	9	6	CloseWindow:2|Rectangle:2|ShowCursor:2|DrawText:1|DrawTextEx:1
src/external/jar_xm.h	61	3	DrawText:30|TextFormat:23|DrawRectangle:8
src/external/m3d.h	18	1	Model:18
src/external/RGFW/RGFW.h	1	1	MouseButton:1
src/platforms/rcore_android.c	86	60	Vector2:10|Image:4|Rectangle:4|GamepadButton:3|GetFontDefault:3
src/platforms/rcore_desktop_glfw.c	109	58	Vector2:14|GetCurrentMonitor:5|GetWindowScaleDPI:5|MatrixScale:5|Image:4
src/platforms/rcore_desktop_rgfw.c	135	65	Vector2:18|MatrixScale:8|GetWindowScaleDPI:7|ShowCursor:7|Image:6
src/platforms/rcore_desktop_sdl.c	82	55	Vector2:10|KeyboardKey:7|Image:4|GetWindowScaleDPI:3|ToggleFullscreen:3
src/platforms/rcore_desktop_win32.c	83	56	Vector2:10|ClearWindowState:4|Image:4|SetWindowState:4|ShowCursor:4
src/platforms/rcore_drm.c	74	52	Vector2:11|Image:4|GetCurrentMonitor:3|SetMousePosition:3|GetMonitorHeight:2
src/platforms/rcore_memory.c	60	49	Vector2:7|Image:4|SetMousePosition:3|ClearWindowState:1|DisableCursor:1
src/platforms/rcore_template.c	60	49	Vector2:7|Image:4|SetMousePosition:3|ClearWindowState:1|DisableCursor:1
src/platforms/rcore_web.c	89	59	Vector2:11|GetScreenHeight:4|GetScreenWidth:4|Image:4|GestureEvent:3
src/platforms/rcore_web_emscripten.c	82	58	Vector2:8|GetScreenHeight:4|GetScreenWidth:4|Image:4|GestureEvent:3
src/raudio.c	209	80	AudioStream:19|Sound:19|Music:18|Wave:16|LoadAudioStream:15
src/raylib.h	1530	670	Color:204|Vector2:161|Image:95|Vector3:72|Rectangle:36
src/raymath.h	920	151	Vector3:214|Vector2:140|Vector4:111|Quaternion:96|Matrix:95
src/rcamera.h	209	44	Camera:27|Vector3:26|IsKeyDown:12|Vector3Add:10|CameraMoveRight:9
src/rcore.c	434	211	Vector2:35|Matrix:18|Vector3:16|Shader:13|FilePathList:9
src/rgestures.h	52	14	Vector2:28|GestureEvent:3|GesturesData:2|GetGestureDetected:2|GetGestureDragAngle:2
src/rlgl.h	72	1	Matrix:72
src/rmodels.c	1103	155	Vector3:242|Vector2:72|Mesh:52|Matrix:46|Color:39
src/rshapes.c	410	75	Vector2:176|Color:59|Rectangle:38|DrawTriangleStrip:12|GetShapesTexture:12
src/rtext.c	290	89	TextLength:28|Font:25|GlyphInfo:19|Rectangle:18|Vector2:15
src/rtextures.c	728	141	Color:155|Image:118|Vector2:54|Rectangle:31|Vector4:31
tools/rexm/rexm.c	609	37	TextFormat:260|TextFindIndex:73|FileCopy:28|UnloadFileText:24|LoadFileText:23
tools/rlparser/rlparser.c	45	6	TextLength:30|LoadFileText:3|LoadTextLines:3|TextFindIndex:3|UnloadFileText:3
